GOFFSET_FM_NAME,GOFFSET_SEGMENT,GOFFSET_CID,GOFFSET_SEG,GOFFSET_READNODE,GOFFSET_GRADE,GOFFSET_AL0,GOFFSET_AL1,GOFFSET_AL2,GOFFSET_AL3,GOFFSET_AM0,GOFFSET_AM1,GOFFSET_AM2,GOFFSET_AM3,GOFFSET_AH0,GOFFSET_EBL,GOFFSET_EBH,GOFFSET_PHCUT
FM02-08,AB,3,0,1,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,AB,3,0,1,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,0,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,0,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,0,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,0,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,1,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,1,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,1,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-08,CD,3,1,1,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
