GOFFSET_FM_NAME,GOFFSET_SEGMENT,GOFFSET_CID,GOFFSET_SEG,GOFFSET_READNODE,GOFFSET_GRADE,GOFFSET_AL0,GOFFSET_AL2,GOFFSET_AL3,GOFFSET_AM1,GOFFSET_AM2,GOFFSET_AM3,GOFFSET_AL1,GOFFSET_AM0,GOFFSET_AH0,GOFFSET_EBL,GOFFSET_EBH,GOFFSET_PHCUT
FM02-05,AB,0,0,0,0,13.185389117731916,0.0,0.0,0.0,0.0,0.0,0.0,13.185389117731916,13.185389117731916,306.5,2000.0,67
FM02-05,AB,0,0,0,2,6.688313530175872,-4.532295307768664e-05,0.0,0.000858125228329,0.0,0.0,0.0286410954649509,10.94605371893818,12.6623041755962,306.5,2000.0,67
FM02-05,AB,0,0,0,34,7.374106049088075,-4.857673898572834e-05,0.0,0.000314928527986,0.0,0.0,0.0300924695262375,11.937514207070112,12.567371263042242,306.5,2000.0,67
FM02-05,AB,0,0,0,6,-12.215489917000507,-0.0002138867392109,0.0,0.0026084066640563,0.0,0.0,0.1337209778003789,7.877511609640927,13.094324937753576,306.5,2000.0,67
FM02-05,AB,0,0,1,0,13.185389117731916,0.0,0.0,0.0,0.0,0.0,0.0,13.185389117731916,13.185389117731916,306.5,2000.0,67
FM02-05,AB,0,0,1,2,6.688313530175872,-4.532295307768664e-05,0.0,0.000858125228329,0.0,0.0,0.0286410954649509,10.94605371893818,12.6623041755962,306.5,2000.0,67
FM02-05,AB,0,0,1,34,7.374106049088075,-4.857673898572834e-05,0.0,0.000314928527986,0.0,0.0,0.0300924695262375,11.937514207070112,12.567371263042242,306.5,2000.0,67
FM02-05,AB,0,0,1,6,-12.215489917000507,-0.0002138867392109,0.0,0.0026084066640563,0.0,0.0,0.1337209778003789,7.877511609640927,13.094324937753576,306.5,2000.0,67
FM02-05,CD,0,1,0,0,11.583995998834894,0.0,0.0,0.0,0.0,0.0,0.0,11.583995998834894,11.583995998834894,306.5,2000.0,67
FM02-05,CD,0,1,0,2,3.8120078996379214,-5.061929283134426e-05,0.0,0.0011910480411812,0.0,0.0,0.0322206745467952,8.567298161623272,10.9493942439858,306.5,2000.0,67
FM02-05,CD,0,1,0,34,4.613303470579717,-4.897439763418277e-05,0.0,0.0003922799341504,0.0,0.0,0.0304135856839044,9.214068576729522,9.998628445030404,306.5,2000.0,67
FM02-05,CD,0,1,0,6,-24.27522028852846,-0.0003041657417854,0.0,0.0013062396321638,0.0,0.0,0.1877598393466688,4.298793867719425,6.911273132047203,306.5,2000.0,67
FM02-05,CD,0,1,1,0,11.583995998834894,0.0,0.0,0.0,0.0,0.0,0.0,11.583995998834894,11.583995998834894,306.5,2000.0,67
FM02-05,CD,0,1,1,2,3.8120078996379214,-5.061929283134426e-05,0.0,0.0011910480411812,0.0,0.0,0.0322206745467952,8.567298161623272,10.9493942439858,306.5,2000.0,67
FM02-05,CD,0,1,1,34,4.613303470579717,-4.897439763418277e-05,0.0,0.0003922799341504,0.0,0.0,0.0304135856839044,9.214068576729522,9.998628445030404,306.5,2000.0,67
FM02-05,CD,0,1,1,6,-24.27522028852846,-0.0003041657417854,0.0,0.0013062396321638,0.0,0.0,0.1877598393466688,4.298793867719425,6.911273132047203,306.5,2000.0,67
FM02-03,AB,1,0,0,0,8.878177272157814,0.0,0.0,0.0,0.0,0.0,0.0,8.878177272157814,8.878177272157814,306.5,2000.0,67
FM02-03,AB,1,0,0,2,5.724240703347375,-5.989870667022501e-06,0.0,0.0012490195436358,0.0,0.0,0.0049208102625206,6.28694263101647,8.784981718288197,306.5,2000.0,67
FM02-03,AB,1,0,0,34,6.469418053823976,-3.2425171436756277e-09,0.0,0.0004468646349637,0.0,0.0,0.0004488522979728,6.469722663180116,7.363451933107601,306.5,2000.0,67
FM02-03,AB,1,0,0,6,-8.607262866451158,-0.000102703752008,0.0,0.0022505757002671,0.0,0.0,0.065207975681201,1.0409586806269604,5.542110081161264,306.5,2000.0,67
FM02-03,AB,1,0,1,0,8.878177272157814,0.0,0.0,0.0,0.0,0.0,0.0,8.878177272157814,8.878177272157814,306.5,2000.0,67
FM02-03,AB,1,0,1,2,5.724240703347375,-5.989870667022501e-06,0.0,0.0012490195436358,0.0,0.0,0.0049208102625206,6.28694263101647,8.784981718288197,306.5,2000.0,67
FM02-03,AB,1,0,1,34,6.469418053823976,-3.2425171436756277e-09,0.0,0.0004468646349637,0.0,0.0,0.0004488522979728,6.469722663180116,7.363451933107601,306.5,2000.0,67
FM02-03,AB,1,0,1,6,-8.607262866451158,-0.000102703752008,0.0,0.0022505757002671,0.0,0.0,0.065207975681201,1.0409586806269604,5.542110081161264,306.5,2000.0,67
FM02-03,CD,1,1,0,0,10.464299522334386,0.0,0.0,0.0,0.0,0.0,0.0,10.464299522334386,10.464299522334386,306.5,2000.0,67
FM02-03,CD,1,1,0,2,5.295080738693253,-7.290188542841136e-06,0.0,0.0013114788207424,0.0,0.0,0.0057803643975041,5.979937453331971,8.602895094816956,306.5,2000.0,67
FM02-03,CD,1,1,0,34,5.665413304087801,-4.199885787814496e-06,0.0,0.0008264976418815,0.0,0.0,0.0034010276298118,6.059960024738118,7.712955308501305,306.5,2000.0,67
FM02-03,CD,1,1,0,6,-15.151951482127032,-0.000167774489435,0.0,0.0024112469424207,0.0,0.0,0.1052570089661109,0.609161548003493,5.43165543284491,306.5,2000.0,67
FM02-03,CD,1,1,1,0,10.464299522334386,0.0,0.0,0.0,0.0,0.0,0.0,10.464299522334386,10.464299522334386,306.5,2000.0,67
FM02-03,CD,1,1,1,2,5.295080738693253,-7.290188542841136e-06,0.0,0.0013114788207424,0.0,0.0,0.0057803643975041,5.979937453331971,8.602895094816956,306.5,2000.0,67
FM02-03,CD,1,1,1,34,5.665413304087801,-4.199885787814496e-06,0.0,0.0008264976418815,0.0,0.0,0.0034010276298118,6.059960024738118,7.712955308501305,306.5,2000.0,67
FM02-03,CD,1,1,1,6,-15.151951482127032,-0.000167774489435,0.0,0.0024112469424207,0.0,0.0,0.1052570089661109,0.609161548003493,5.43165543284491,306.5,2000.0,67
FM02-06,AB,2,0,0,0,10.563843858370433,0.0,0.0,0.0,0.0,0.0,0.0,10.563843858370433,10.563843858370433,306.5,2000.0,67
FM02-06,AB,2,0,0,2,6.419516158085071,-8.366338732912483e-10,0.0,0.0013996397197295,0.0,0.0,0.0014001525762939,6.419594753353554,9.21887419281274,306.5,2000.0,67
FM02-06,AB,2,0,0,34,6.974068618960498,-9.818459378863054e-10,0.0,0.0005772350408847,0.0,0.0,0.0005778369124447,6.974160855777056,8.128630937546633,306.5,2000.0,67
FM02-06,AB,2,0,0,6,-15.61005049322466,-0.0001718524102762,0.0,0.0024858425705637,0.0,0.0,0.1078313700699266,0.534151596052699,5.50583673718027,306.5,2000.0,67
FM02-06,AB,2,0,1,0,10.563843858370433,0.0,0.0,0.0,0.0,0.0,0.0,10.563843858370433,10.563843858370433,306.5,2000.0,67
FM02-06,AB,2,0,1,2,6.419516158085071,-8.366338732912483e-10,0.0,0.0013996397197295,0.0,0.0,0.0014001525762939,6.419594753353554,9.21887419281274,306.5,2000.0,67
FM02-06,AB,2,0,1,34,6.974068618960498,-9.818459378863054e-10,0.0,0.0005772350408847,0.0,0.0,0.0005778369124447,6.974160855777056,8.128630937546633,306.5,2000.0,67
FM02-06,AB,2,0,1,6,-15.61005049322466,-0.0001718524102762,0.0,0.0024858425705637,0.0,0.0,0.1078313700699266,0.534151596052699,5.50583673718027,306.5,2000.0,67
FM02-06,CD,2,1,0,0,12.612736337616411,0.0,0.0,0.0,0.0,0.0,0.0,12.612736337616411,12.612736337616411,306.5,2000.0,67
FM02-06,CD,2,1,0,2,7.268382501747679,-1.3065677268997432e-05,0.0,0.0015794457593663,0.0,0.0,0.0095887059252617,8.495801622171152,11.65469314090377,306.5,2000.0,67
FM02-06,CD,2,1,0,34,7.910410131690013,-1.4728510028927388e-05,0.0,0.0005675774551885,0.0,0.0,0.009596154102921,9.294039502955016,10.429194413332088,306.5,2000.0,67
FM02-06,CD,2,1,0,6,-17.294026382478947,-0.0002090443286506,0.0,0.0022597364114408,0.0,0.0,0.1304039098742916,2.34406820070294,6.86354102358459,306.5,2000.0,67
FM02-06,CD,2,1,1,0,12.612736337616411,0.0,0.0,0.0,0.0,0.0,0.0,12.612736337616411,12.612736337616411,306.5,2000.0,67
FM02-06,CD,2,1,1,2,7.268382501747679,-1.3065677268997432e-05,0.0,0.0015794457593663,0.0,0.0,0.0095887059252617,8.495801622171152,11.65469314090377,306.5,2000.0,67
